date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:08	74/74	---M-Z	200	added ('OK')	text/plain	etag:W/%2297e07e502712fc44f26d1a821f9e53b7%22	https://website1966444.nicepage.io/robots.txt		(from )
11:51:08	51547/51547	---M-Z	200	added ('OK')	text/html	etag:W/%226a396191b7f3e56281c187973407104c%22	https://website1966444.nicepage.io/	D:/------------------METRO_LABS-------------------/Designs/short_design/website1966444.nicepage.io/index.html	(from )
11:51:10	630365/630365	---MCZ	200	added ('OK')	text/css	etag:W/%2277ab2ba9e2aaf3f62e55eae42afef6ad%22	http://capp.nicepage.com/de7201afaae0292de7355fc9e109d2e140e5ad31/nicepage.css	D:/------------------METRO_LABS-------------------/Designs/short_design/capp.nicepage.com/de7201afaae0292de7355fc9e109d2e140e5ad31/nicepage.css	(from https://website1966444.nicepage.io/)
11:51:10	791297/791297	---M-Z	200	added ('OK')	text/css	etag:W/%228ff3881ff2b1219f885bfa878ba828e6%22	https://website1966444.nicepage.io/nicepage-site.css	D:/------------------METRO_LABS-------------------/Designs/short_design/website1966444.nicepage.io/nicepage-site.css	(from https://website1966444.nicepage.io/)
11:51:12	73642/73642	---M-Z	200	added ('OK')	text/css	etag:W/%22d37445499b2212472dcd7b886663599f%22	https://website1966444.nicepage.io/Home-Page.css	D:/------------------METRO_LABS-------------------/Designs/short_design/website1966444.nicepage.io/Home-Page.css	(from https://website1966444.nicepage.io/)
11:51:13	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	D:/------------------METRO_LABS-------------------/Designs/short_design/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://website1966444.nicepage.io/)
11:51:16	317376/317376	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22d13ac0751006ec57fe5570540014438f%22	http://capp.nicepage.com/de7201afaae0292de7355fc9e109d2e140e5ad31/nicepage.js	D:/------------------METRO_LABS-------------------/Designs/short_design/capp.nicepage.com/de7201afaae0292de7355fc9e109d2e140e5ad31/nicepage.js	(from https://website1966444.nicepage.io/)
11:51:16	1804/1804	---M--	200	added ('OK')	image/png	etag:%22c788ab934795d6896b675b10861401c2%22	https://assets.nicepagecdn.com/d2cc3eaa/1966444/images/default-logo.png	D:/------------------METRO_LABS-------------------/Designs/short_design/assets.nicepagecdn.com/d2cc3eaa/1966444/images/default-logo.png	(from https://website1966444.nicepage.io/)
11:51:17	56544/56544	---M-Z	200	added ('OK')	text/html	etag:W/%2265b3a997cef7ed834e994a5ecdf29d34%22	https://website1966444.nicepage.io/About-Us.html	D:/------------------METRO_LABS-------------------/Designs/short_design/website1966444.nicepage.io/About-Us.html	(from https://website1966444.nicepage.io/)
11:51:17	54634/54634	---M-Z	200	added ('OK')	text/html	etag:W/%22cf83f0f7a1dc8dd662a1b2d682d63563%22	https://website1966444.nicepage.io/Landing.html	D:/------------------METRO_LABS-------------------/Designs/short_design/website1966444.nicepage.io/Landing.html	(from https://website1966444.nicepage.io/)
